horsepower,weight,model_year,origin,mpg
90,3211,75,NorthAmerica,Medium
85,2310,73,NorthAmerica,Medium
88,3302,71,NorthAmerica,Medium
100,2634,71,NorthAmerica,Medium
100,3630,77,NorthAmerica,Medium
90,3381,80,NorthAmerica,Medium
125,3605,79,NorthAmerica,Medium
145,3425,78,NorthAmerica,Medium
105,3535,78,NorthAmerica,Medium
140,3735,78,NorthAmerica,Medium
85,2990,79,NorthAmerica,Medium
100,3651,76,NorthAmerica,Medium
100,2914,75,NorthAmerica,Medium
95,3102,74,NorthAmerica,Medium
110,3221,75,NorthAmerica,Medium
85,2965,78,NorthAmerica,Medium
88,3060,81,NorthAmerica,Medium
90,3265,79,NorthAmerica,Medium
100,3430,78,NorthAmerica,Medium
105,3425,77,NorthAmerica,Medium
95,3155,78,NorthAmerica,Medium
105,3380,78,NorthAmerica,Medium
110,3360,79,NorthAmerica,Medium
72,2401,73,NorthAmerica,Medium
85,2587,70,NorthAmerica,Medium
90,2648,70,NorthAmerica,Medium
110,3039,75,NorthAmerica,Medium
107,2472,73,NorthAmerica,Medium
115,3245,79,NorthAmerica,Medium
86,2395,72,NorthAmerica,Medium
72,2408,71,NorthAmerica,Medium
112,2835,82,NorthAmerica,Medium
105,3353,76,NorthAmerica,Medium
100,3233,76,NorthAmerica,Medium
88,2890,79,NorthAmerica,Medium
110,3415,81,NorthAmerica,Medium
90,3085,76,NorthAmerica,Medium
86,2220,71,NorthAmerica,Medium
95,2904,73,NorthAmerica,Medium
125,3900,79,NorthAmerica,Medium
110,2725,81,NorthAmerica,Medium
92,2865,82,NorthAmerica,Medium
81,3012,76,NorthAmerica,Medium
90,3003,80,NorthAmerica,Medium
88,2740,77,NorthAmerica,Medium
110,2945,82,NorthAmerica,Medium
80,2126,72,NorthAmerica,Medium
92,2572,76,NorthAmerica,Medium
75,2542,74,NorthAmerica,Medium
92,2620,81,NorthAmerica,Medium
79,2255,76,NorthAmerica,Medium
92,2585,82,NorthAmerica,Medium
80,2451,74,NorthAmerica,Medium
88,2870,80,NorthAmerica,Medium
72,2565,76,NorthAmerica,Medium
105,3725,81,NorthAmerica,Medium
115,2700,79,NorthAmerica,Medium
90,2950,82,NorthAmerica,Medium
88,2640,82,NorthAmerica,Medium
90,2670,79,NorthAmerica,Medium
115,2595,79,NorthAmerica,Medium
84,2525,82,NorthAmerica,Medium
65,2380,81,NorthAmerica,Medium
80,2155,77,NorthAmerica,Medium
82,2720,82,NorthAmerica,Medium
84,2295,82,NorthAmerica,Medium
70,2120,80,NorthAmerica,Medium
83,2075,77,NorthAmerica,Medium
88,2395,82,NorthAmerica,Medium
70,2200,79,NorthAmerica,Medium
65,2045,81,NorthAmerica,Medium
70,2150,79,NorthAmerica,Medium
80,1915,79,NorthAmerica,Medium
84,2370,82,NorthAmerica,Medium
66,1800,78,NorthAmerica,Medium
63,2125,82,NorthAmerica,Medium
64,1875,81,NorthAmerica,Medium
125,3140,78,Europe,Medium
112,2933,72,Europe,Medium
112,2868,73,Europe,Medium
102,3150,76,Europe,Medium
103,2830,78,Europe,Medium
110,2600,77,Europe,Medium
115,2795,78,Europe,Medium
98,2945,75,Europe,Medium
88,2957,75,Europe,Medium
95,2694,75,Europe,Medium
75,2108,74,Europe,Medium
75,2158,73,Europe,Medium
81,2220,76,Europe,Medium
115,2671,75,Europe,Medium
87,2672,70,Europe,Medium
71,2223,75,Europe,Medium
95,2375,70,Europe,Medium
77,3530,79,Europe,Medium
75,2246,74,Europe,Medium
67,1963,74,Europe,Medium
113,2234,70,Europe,Medium
78,2300,74,Europe,High
69,2189,72,Europe,High
46,1950,73,Europe,High
83,2202,76,Europe,High
49,1867,73,Europe,High
70,1937,75,Europe,High
62,1845,80,Europe,High
67,3250,80,Europe,High
76,2065,71,Europe,High
78,2190,77,Europe,High
76,3160,81,Europe,High
67,2000,74,Europe,High
71,1990,78,Europe,High
78,2188,80,Europe,High
88,2500,80,Europe,High
74,1980,82,Europe,High
58,1825,77,Europe,High
69,2130,79,Europe,High
48,1985,78,Europe,High
90,2124,73,Asia,High
108,2930,76,Asia,High
88,2279,73,Asia,High
95,2515,78,Asia,High
94,2379,73,Asia,High
97,2815,77,Asia,High
97,2489,74,Asia,High
97,2545,75,Asia,High
95,2278,72,Asia,High
95,2372,70,Asia,High
95,2228,71,Asia,High
116,2900,81,Asia,High
75,2265,77,Asia,High
93,2391,74,Asia,High
75,2171,75,Asia,High
68,2135,78,Asia,High
90,2711,80,Asia,High
67,1985,77,Asia,High
65,1773,71,Asia,High
68,1970,82,Asia,High
75,2542,80,Asia,High
68,2045,77,Asia,High
74,2635,81,Asia,High
65,2020,79,Asia,High
61,2003,74,Asia,High
70,1990,76,Asia,High
96,2665,82,Asia,High
65,1836,74,Asia,High
75,2265,80,Asia,High
67,2065,81,Asia,High
52,1985,78,Asia,High
53,1795,75,Asia,High
53,1795,76,Asia,High
70,1945,77,Asia,High
75,2210,81,Asia,High
70,2245,82,Asia,High
65,1975,79,Asia,High
68,1985,81,Asia,High
69,1613,71,Asia,High
60,1760,81,Asia,High
88,2160,82,Asia,High
75,2205,82,Asia,High
60,1800,78,Asia,High
92,2434,80,Asia,High
65,1975,81,Asia,High
65,2019,80,Asia,High
67,1995,82,Asia,High
67,1965,82,Asia,High
58,1755,81,Asia,High
70,2070,78,Asia,High
65,2110,80,Asia,High
97,2330,72,Asia,High
122,2807,73,Asia,High
97,2506,72,Asia,High
100,2420,80,Asia,High
96,2702,75,Asia,High
120,2930,81,Asia,High
52,1649,74,Asia,High
75,2350,81,Asia,High
132,2910,80,Asia,High
100,2615,81,Asia,High
67,2145,80,Asia,High
68,2025,82,Asia,High
62,2050,81,Asia,High
60,1968,80,Asia,High
67,1850,80,Asia,High
65,2110,80,Asia,High
